title,company,location,date,state,is_python
Senior Python Developer,"Payne, Roberts and Davis","Stewartbury, AA",2021-04-08,AA,True
Energy engineer,Vasquez-Davidson,"Christopherville, AA",2021-04-08,AA,False
Legal executive,"Jackson, Chambers and Levy","Port Ericaburgh, AA",2021-04-08,AA,False
Fitness centre manager,Savage-Bradley,"East Seanview, AP",2021-04-08,AP,False
Product manager,Ramirez Inc,"North Jamieview, AP",2021-04-08,AP,False
Medical technical officer,Rogers-Yates,"Davidville, AP",2021-04-08,AP,False
Physiological scientist,Kramer-Klein,"South Christopher, AE",2021-04-08,AE,False
Textile designer,Meyers-Johnson,"Port Jonathan, AE",2021-04-08,AE,False
Television floor manager,Hughes-Williams,"Osbornetown, AE",2021-04-08,AE,False
Waste management officer,"Jones, Williams and Villa","Scotttown, AP",2021-04-08,AP,False
Software Engineer (Python),Garcia PLC,"Ericberg, AE",2021-04-08,AE,True
Interpreter,Gregory and Sons,"Ramireztown, AE",2021-04-08,AE,False
Architect,"Clark, Garcia and Sosa","Figueroaview, AA",2021-04-08,AA,False
Meteorologist,Bush PLC,"Kelseystad, AA",2021-04-08,AA,False
Audiological scientist,Salazar-Meyers,"Williamsburgh, AE",2021-04-08,AE,False
English as a second language teacher,"Parker, Murphy and Brooks","Mitchellburgh, AE",2021-04-08,AE,False
Surgeon,Cruz-Brown,"West Jessicabury, AA",2021-04-08,AA,False
Equities trader,Macdonald-Ferguson,"Maloneshire, AE",2021-04-08,AE,False
Newspaper journalist,"Williams, Peterson and Rojas","Johnsonton, AA",2021-04-08,AA,False
Materials engineer,Smith and Sons,"South Davidtown, AP",2021-04-08,AP,False
Python Programmer (Entry-Level),"Moss, Duncan and Allen","Port Sara, AE",2021-04-08,AE,True
Product/process development scientist,Gomez-Carroll,"Marktown, AA",2021-04-08,AA,False
"Scientist, research (maths)","Manning, Welch and Herring","Laurenland, AE",2021-04-08,AE,False
Ecologist,"Lee, Gutierrez and Brown","Lauraton, AP",2021-04-08,AP,False
Materials engineer,"Davis, Serrano and Cook","South Tammyberg, AP",2021-04-08,AP,False
Historic buildings inspector/conservation officer,Smith LLC,"North Brandonville, AP",2021-04-08,AP,False
Data scientist,Thomas Group,"Port Robertfurt, AA",2021-04-08,AA,False
Psychiatrist,Silva-King,"Burnettbury, AE",2021-04-08,AE,False
Structural engineer,Pierce-Long,"Herbertside, AA",2021-04-08,AA,False
Immigration officer,Walker-Simpson,"Christopherport, AP",2021-04-08,AP,False
Python Programmer (Entry-Level),Cooper and Sons,"West Victor, AE",2021-04-08,AE,True
Neurosurgeon,"Donovan, Gonzalez and Figueroa","Port Aaron, AP",2021-04-08,AP,False
Broadcast engineer,"Morgan, Butler and Bennett","Loribury, AA",2021-04-08,AA,False
Make,Snyder-Lee,"Angelastad, AP",2021-04-08,AP,False
"Nurse, adult",Harris PLC,"Larrytown, AE",2021-04-08,AE,False
Air broker,Washington PLC,"West Colin, AP",2021-04-08,AP,False
"Editor, film/video","Brown, Price and Campbell","West Stephanie, AP",2021-04-08,AP,False
"Production assistant, radio",Mcgee PLC,"Laurentown, AP",2021-04-08,AP,False
"Engineer, communications",Dixon Inc,"Wrightberg, AP",2021-04-08,AP,False
Sales executive,"Thompson, Sheppard and Ward","Alberttown, AE",2021-04-08,AE,False
Software Developer (Python),Adams-Brewer,"Brockburgh, AE",2021-04-08,AE,True
Futures trader,Schneider-Brady,"North Jason, AE",2021-04-08,AE,False
Tour manager,Gonzales-Frank,"Arnoldhaven, AE",2021-04-08,AE,False
Cytogeneticist,Smith-Wong,"Lake Destiny, AP",2021-04-08,AP,False
"Designer, multimedia",Pierce-Herrera,"South Timothyburgh, AP",2021-04-08,AP,False
Trade union research officer,"Aguilar, Rivera and Quinn","New Jimmyton, AE",2021-04-08,AE,False
"Chemist, analytical","Lowe, Barnes and Thomas","New Lucasbury, AP",2021-04-08,AP,False
"Programmer, multimedia","Lewis, Gonzalez and Vasquez","Port Cory, AE",2021-04-08,AE,False
"Engineer, broadcasting (operations)",Taylor PLC,"Gileston, AA",2021-04-08,AA,False
"Teacher, primary school","Oliver, Jones and Ramirez","Cindyshire, AA",2021-04-08,AA,False
Python Developer,Rivera and Sons,"East Michaelfort, AA",2021-04-08,AA,True
Manufacturing systems engineer,Garcia PLC,"Joybury, AE",2021-04-08,AE,False
"Producer, television/film/video","Johnson, Wells and Kramer","Emmatown, AE",2021-04-08,AE,False
"Scientist, forensic",Gonzalez LLC,"Colehaven, AP",2021-04-08,AP,False
Bonds trader,"Morgan, White and Macdonald","Port Coryton, AE",2021-04-08,AE,False
Editorial assistant,Robinson-Fitzpatrick,"Amyborough, AA",2021-04-08,AA,False
Photographer,"Waters, Wilson and Hoover","Reynoldsville, AA",2021-04-08,AA,False
Retail banker,Hill LLC,"Port Billy, AP",2021-04-08,AP,False
Jewellery designer,Li-Gregory,"Adamburgh, AA",2021-04-08,AA,False
Ophthalmologist,"Fisher, Ryan and Coleman","Wilsonmouth, AA",2021-04-08,AA,False
"Back-End Web Developer (Python, Django)",Stewart-Alexander,"South Kimberly, AA",2021-04-08,AA,True
Licensed conveyancer,Abbott and Sons,"Benjaminland, AP",2021-04-08,AP,False
Futures trader,"Bryant, Santana and Davenport","Zacharyport, AA",2021-04-08,AA,False
Counselling psychologist,Smith PLC,"Port Devonville, AE",2021-04-08,AE,False
Insurance underwriter,Patterson-Singh,"East Thomas, AE",2021-04-08,AE,False
"Engineer, automotive",Martinez-Berry,"New Jeffrey, AP",2021-04-08,AP,False
"Producer, radio","May, Taylor and Fisher","Davidside, AA",2021-04-08,AA,False
Dispensing optician,"Bailey, Owen and Thompson","Jamesville, AA",2021-04-08,AA,False
"Designer, fashion/clothing",Vasquez Ltd,"New Kelly, AP",2021-04-08,AP,False
Chartered loss adjuster,Leblanc LLC,"Lake Antonio, AA",2021-04-08,AA,False
"Back-End Web Developer (Python, Django)","Jackson, Ali and Mckee","New Elizabethside, AA",2021-04-08,AA,True
Forest/woodland manager,"Blankenship, Knight and Powell","Millsbury, AE",2021-04-08,AE,False
Clinical cytogeneticist,"Patton, Haynes and Jones","Lloydton, AP",2021-04-08,AP,False
Print production planner,Wood Inc,"Port Jeremy, AA",2021-04-08,AA,False
Systems developer,Collins Group,"New Elizabethtown, AA",2021-04-08,AA,False
Graphic designer,Flores-Nelson,"Charlesstad, AE",2021-04-08,AE,False
Writer,"Mitchell, Jones and Olson","Josephbury, AE",2021-04-08,AE,False
Field seismologist,Howard Group,"Seanfurt, AA",2021-04-08,AA,False
Chief Strategy Officer,Kramer-Edwards,"Williambury, AA",2021-04-08,AA,False
Air cabin crew,Berry-Houston,"South Jorgeside, AP",2021-04-08,AP,False
Python Programmer (Entry-Level),Mathews Inc,"Robertborough, AP",2021-04-08,AP,True
Warden/ranger,Riley-Johnson,"South Saratown, AP",2021-04-08,AP,False
Sports therapist,Spencer and Sons,"Hullview, AA",2021-04-08,AA,False
Arts development officer,Camacho-Sanchez,"Philipland, AP",2021-04-08,AP,False
Printmaker,Oliver and Sons,"North Patty, AE",2021-04-08,AE,False
Health and safety adviser,Eaton PLC,"North Stephen, AE",2021-04-08,AE,False
Manufacturing systems engineer,Stanley-Frederick,"Stevensland, AP",2021-04-08,AP,False
"Programmer, applications",Bradley LLC,"Reyesstad, AE",2021-04-08,AE,False
Medical physicist,"Parker, Goodwin and Zavala","Bellberg, AP",2021-04-08,AP,False
Media planner,Kim-Miles,"North Johnland, AE",2021-04-08,AE,False
Software Developer (Python),Moreno-Rodriguez,"Martinezburgh, AE",2021-04-08,AE,True
"Surveyor, land/geomatics",Brown-Ortiz,"Joshuatown, AE",2021-04-08,AE,False
Legal executive,Hartman PLC,"West Ericstad, AA",2021-04-08,AA,False
"Librarian, academic",Brooks Inc,"Tuckertown, AE",2021-04-08,AE,False
Barrister,Washington-Castillo,"Perezton, AE",2021-04-08,AE,False
Museum/gallery exhibitions officer,"Nguyen, Yoder and Petty","Lake Abigail, AE",2021-04-08,AE,False
"Radiographer, diagnostic",Holder LLC,"Jacobshire, AP",2021-04-08,AP,False
Database administrator,Yates-Ferguson,"Port Susan, AE",2021-04-08,AE,False
Furniture designer,Ortega-Lawrence,"North Tiffany, AA",2021-04-08,AA,False
Ship broker,"Fuentes, Walls and Castro","Michelleville, AP",2021-04-08,AP,False
